Name,Autor,Review,Review qntd,Format,Price
Building Machine Learning and Deep Learning Models on Google Cloud Platform: A Comprehensive Guide for Beginners,,5.0 out of 5 stars,2,Paperback,$26.49
Algorithms for Optimization (The MIT Press),,4.6 out of 5 stars,59,Hardcover,
"Machine Learning for Beginners: Absolute Beginners Guide, Learn Machine Learning and Artificial Intelligence from Scratch (Python, Machine Learning)",,4.2 out of 5 stars,16,Paperback,$14.38
TinyML: Machine Learning with TensorFlow Lite on Arduino and Ultra-Low-Power Microcontrollers,Pete Warden,4.5 out of 5 stars,104,Paperback,$31.96
Adversarial Machine Learning,,4.5 out of 5 stars,5,Kindle,$55.96
AWS Certified Machine Learning Specialty 2020 Certification Guide: The definitive guide passing the MLS-C01 exam on the very first attempt,Somanath Nanda,,,Kindle,$31.49
"Complete Go programming Developer in 2021: Zero to Mastery: How to become a Go programming Developer and get hired! Build 12+ projects, learn , Machine Learning + more!",,,,Kindle Edition,$0.00
Big Data and Machine Learning in Quantitative Investment (Wiley Finance),,4.3 out of 5 stars,30,Hardcover,$48.30
Real World AI: A Practical Guide for Responsible Machine Learning,Alyssa Simpson Rochwerger,5.0 out of 5 stars,47,Kindle,$9.99
Learning Tensorflow.js: Powerful Machine Learning in JavaScript,Gant Laborde,,,Paperback,$49.99
"Mastering Machine Learning on AWS: Advanced machine learning in Python using SageMaker, Apache Spark, and TensorFlow",Dr. Saket S.R. Mengle,4.1 out of 5 stars,27,Paperback,$34.99
"Python Machine Learning By Example: Build intelligent systems using Python, TensorFlow 2, PyTorch, and scikit-learn, 3rd Edition",Yuxi (Hayden) Liu,4.7 out of 5 stars,16,Paperback,$33.24
Machine Learning for Hackers: Case Studies and Algorithms to Get You Started,Drew Conway,3.7 out of 5 stars,52,Paperback,$40.53
Machine Learning with Python: The Definitive Tool to Improve Your Python Programming and Deep Learning to Take You to The Next Level of Coding and Algorithms Optimization,,4.3 out of 5 stars,13,Kindle,$0.00
"Mighty Machines: Learning, Lifting and Towing",,4.7 out of 5 stars,20,DVD,
Neural Networks for Churn Prediction in the Mobile Telecommunications Industry,,,,Kindle,$0.00
